0;
abans;0
abast;0
aboca;0
abona;0
abric;0
abril;0
absis;0
absol;0
abste;0
abusa;0
acaba;0
acabi;0
acata;0
acces;0
accio;0
acers;0
acord;0
acres;0
actes;0
actiu;0
actor;0
actua;0
actui;0
acull;0
acusa;0
adagi;0
adeus;0
admes;0
admet;0
adoba;0
adobs;0
adona;0
adoni;0
adora;0
adorm;0
adorn;0
adula;0
adult;0
aeria;0
aeris;0
afany;0
afegi;0
afers;0
afila;0
afina;0
afins;0
afora;0
agafa;0
agafi;0
agent;0
agita;0
agost;0
agres;0
agror;0
agros;0
aguda;0
aguts;0
aieli;0
aigua;0
ailla;0
airar;0
aires;0
airet;0
airos;0
aixar;0
ajeia;0
ajoco;0
ajuda;0
ajudi;0
ajupi;0
ajust;0
ajuts;0
alada;0
alaga;0
alats;0
albes;0
alçar;0
alçat;0
alcen;0
alces;0
aldea;0
alero;0
alers;0
aleta;0
alevi;0
alfil;0
algun;0
aliar;0
aliat;0
allau;0
alosa;0
alots;0
altar;0
altea;0
altes;0
altiu;0
altra;0
altre;0
altri;0
amada;0
amaga;0
amant;0
amara;0
amarg;0
amari;0
ambre;0
ameba;0
amena;0
amics;0
amida;0
amidi;0
amido;0
amiga;0
amina;0
amorf;0
amors;0
ampit;0
ampla;0
ample;0
ampli;0
amunt;0
anada;0
anals;0
anant;0
anava;0
ancia;0
anell;0
angle;0
anhel;0
anima;0
anira;0
anire;0
annex;0
anota;0
ansar;0
ansat;0
anses;0
antic;0
antre;0
anual;0
aorta;0
apaga;0
apart;0
apega;0
apena;0
apila;0
aplec;0
aplic;0
apnea;0
apren;0
apres;0
aptes;0
apunt;0
aquos;0
arada;0
arboç;0
arbre;0
arcar;0
arcat;0
arços;0
arçot;0
ardit;0
ardor;0
arena;0
argot;0
arnar;0
arnat;0
arnes;0
arnos;0
aroma;0
arpes;0
arran;0
arrel;0
arres;0
arreu;0
arria;0
arros;0
arxiu;0
asmat;0
aspat;0
aspes;0
aspra;0
aspre;0
asseu;0
astre;0
astut;0
ataca;0
atacs;0
atees;0
atent;0
atesa;0
ateus;0
atiar;0
